Learning Rate	TrainLoss	TestLoss	TrainL(intrr)	TrainL(bndry)	TrainL(intfc)	
0.00100000	0.17803471	0.00004519	0.01134876	0.00006296	0.00000620	
0.00100000	0.16768330	0.00004425	0.01120723	0.00005907	0.00000461	
0.00100000	0.14925879	0.00004274	0.01110449	0.00005327	0.00000145	
0.00100000	0.14668737	0.00004083	0.01105404	0.00005193	0.00000118	
0.00100000	0.14057726	0.00004100	0.01102663	0.00004972	0.00000084	
0.00100000	0.13813254	0.00004007	0.01098907	0.00004855	0.00000054	
0.00100000	0.13646846	0.00003952	0.01093817	0.00004795	0.00000042	
0.00100000	0.13546218	0.00003932	0.01088420	0.00004765	0.00000038	
0.00100000	0.13526430	0.00003884	0.01083538	0.00004755	0.00000044	
0.00100000	0.13443314	0.00003868	0.01078993	0.00004718	0.00000039	
