Learning Rate	TrainLoss	TestLoss	TrainL(reglr)	TrainL(bndry)	TrainL(snglr)	TrainL(symtry)	
0.00100000	1.74815019	0.00121059	0.14938107	0.00055487	0.00003950	0.00000336	
0.00100000	1.69812472	0.00126120	0.14193708	0.00056918	0.00004348	0.00000349	
0.00100000	1.83507192	0.00118719	0.14940933	0.00056376	0.00004678	0.00000341	
0.00100000	1.77302134	0.00109787	0.15413044	0.00054211	0.00004138	0.00000368	
0.00100000	1.80013021	0.00111557	0.13669732	0.00059622	0.00004272	0.00000365	
0.00100000	1.77403002	0.00115675	0.14473309	0.00055139	0.00004976	0.00000332	
0.00100000	1.70223992	0.00122528	0.14429984	0.00055406	0.00004153	0.00000346	
0.00100000	1.83328692	0.00125222	0.15074211	0.00058451	0.00006547	0.00000400	
0.00100000	1.82269839	0.00119611	0.14933579	0.00055766	0.00006725	0.00000375	
0.00100000	1.71259205	0.00108010	0.13813634	0.00057288	0.00004972	0.00000335	
0.00100000	1.69996750	0.00113325	0.14175084	0.00056288	0.00003943	0.00000346	
0.00100000	1.76906404	0.00105863	0.14000689	0.00056239	0.00004531	0.00000338	
0.00100000	1.76513805	0.00108888	0.14076025	0.00055464	0.00005128	0.00000322	
0.00100000	1.72725993	0.00117598	0.13819412	0.00055506	0.00003979	0.00000327	
0.00100000	1.72272242	0.00105028	0.13659304	0.00055933	0.00004520	0.00000313	
0.00100000	1.71951305	0.00107856	0.14198795	0.00055024	0.00003901	0.00000306	
0.00100000	1.69464243	0.00112611	0.13521753	0.00056547	0.00004017	0.00000324	
0.00100000	1.71574015	0.00113048	0.14145290	0.00055360	0.00003960	0.00000313	
0.00100000	1.67167272	0.00114821	0.13681474	0.00055401	0.00003811	0.00000326	
0.00100000	1.64616908	0.00120489	0.13765835	0.00056022	0.00003512	0.00000294	
0.00100000	1.71388885	0.00110655	0.14253437	0.00054481	0.00004401	0.00000294	
0.00100000	1.69736822	0.00108500	0.13283638	0.00056101	0.00004200	0.00000338	
0.00100000	1.64641386	0.00105404	0.13515306	0.00055373	0.00003799	0.00000300	
0.00100000	1.66745541	0.00101376	0.13627735	0.00055038	0.00004503	0.00000301	
0.00100000	1.64284575	0.00103067	0.13482077	0.00054926	0.00003936	0.00000286	
0.00100000	1.67574998	0.00096220	0.13521318	0.00055378	0.00004476	0.00000290	
0.00100000	1.64648527	0.00110366	0.13240004	0.00055420	0.00004279	0.00000317	
0.00100000	1.69367447	0.00101894	0.13540064	0.00054352	0.00004029	0.00000286	
0.00100000	1.67996850	0.00101429	0.13431834	0.00055094	0.00005346	0.00000301	
0.00100000	1.66141971	0.00089520	0.13338536	0.00054956	0.00005843	0.00000323	
0.00100000	1.75846681	0.00093756	0.13885497	0.00055272	0.00008209	0.00000297	
0.00100000	1.74070251	0.00097312	0.13488832	0.00055138	0.00008011	0.00000363	
0.00100000	1.72581992	0.00104679	0.13384196	0.00056037	0.00005521	0.00000297	
0.00100000	1.74255938	0.00096257	0.13798734	0.00053707	0.00007094	0.00000328	
0.00100000	1.70541754	0.00082021	0.13321743	0.00055556	0.00005423	0.00000292	
0.00100000	1.68374330	0.00090791	0.13802214	0.00054781	0.00005008	0.00000287	
0.00100000	1.69634310	0.00088054	0.13254593	0.00054985	0.00004485	0.00000289	
0.00100000	1.67903629	0.00090357	0.13046813	0.00055103	0.00003861	0.00000279	
0.00100000	1.65045322	0.00091560	0.13129642	0.00054861	0.00004920	0.00000273	
0.00100000	1.73804805	0.00094243	0.12973050	0.00055117	0.00008181	0.00000319	
0.00100000	1.71269509	0.00087911	0.12836740	0.00055264	0.00005649	0.00000320	
0.00100000	1.63851786	0.00088037	0.13038536	0.00054419	0.00004657	0.00000280	
0.00100000	1.63483129	0.00092476	0.12852083	0.00054782	0.00004419	0.00000274	
0.00100000	1.66644423	0.00088874	0.12891165	0.00054258	0.00004827	0.00000286	
0.00100000	1.62574920	0.00088377	0.13376012	0.00054223	0.00004628	0.00000329	
0.00100000	1.69315354	0.00091708	0.13858047	0.00054786	0.00005938	0.00000323	
0.00100000	1.73438512	0.00086237	0.12666073	0.00055974	0.00007619	0.00000312	
0.00100000	1.77970733	0.00103302	0.12961991	0.00054998	0.00011485	0.00000333	
0.00100000	1.75640206	0.00091451	0.12789783	0.00054296	0.00009764	0.00000344	
0.00100000	1.66073059	0.00093842	0.12850726	0.00054309	0.00004274	0.00000291	
0.00100000	1.62723889	0.00091743	0.13004691	0.00054907	0.00004366	0.00000265	
0.00100000	1.69658063	0.00102852	0.13855418	0.00054685	0.00004664	0.00000376	
0.00100000	1.66489555	0.00084074	0.13065670	0.00054725	0.00004367	0.00000345	
0.00100000	1.64320478	0.00084013	0.12472679	0.00055407	0.00005539	0.00000323	
0.00100000	1.73538285	0.00093459	0.12955753	0.00053893	0.00006197	0.00000312	
0.00100000	1.63732923	0.00080344	0.12459602	0.00055266	0.00006519	0.00000300	
0.00100000	1.65743620	0.00092640	0.12428983	0.00054732	0.00005148	0.00000280	
0.00100000	1.64092721	0.00076476	0.12715528	0.00053086	0.00005000	0.00000306	
